# Columns: ZIP/Location,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"Amozoc::Puebla::Mexico",4.8,1,87,19.0300,-98.0500,0,"Amozoc",""
"Aparicio::Puebla::Mexico",6.8,3,87,19.1000,-98.1500,0,"Aparicio",""
"Atlixco::Puebla::Mexico",7.7,9,63,18.9000,-98.4500,0,"Atlixco",""
"Atzompa::Puebla::Mexico",7.7,1,75,19.0300,-98.3300,0,"Atzompa",""
"Calpán::Puebla::Mexico",5.0,2,79,19.1000,-98.4500,0,"Calpán",""
"Chautla::Puebla::Mexico",7.2,4,76,18.9500,-98.1500,0,"Chautla",""
"Chiapa::Puebla::Mexico",5.3,1,119,19.2500,-97.7700,0,"Chiapa",""
"Chiautla::Puebla::Mexico",8.2,3,60,18.2800,-98.6000,0,"Chiautla",""
"Chietla::Puebla::Mexico",7.8,1,51,18.5300,-98.5800,0,"Chietla",""
"Chignahuapan::Puebla::Mexico",5.3,1,157,19.8300,-98.0300,0,"Chignahuapan",""
"Cholula::Puebla::Mexico",7.2,9,78,19.0600,-98.3100,0,"Cholula",""
"Citlaltepetl::Puebla::Mexico",7.1,2,146,18.9700,-97.2700,0,"Citlaltepetl",""
"Cuanala::Puebla::Mexico",7.0,2,81,19.1000,-98.3200,0,"Cuanala",""
"Cuautlancingo::Puebla::Mexico",6.8,7,80,19.0800,-98.2700,0,"Cuautlancingo",""
"Huejotzingo::Puebla::Mexico",6.2,2,83,19.1500,-98.4000,0,"Huejotzingo",""
"Izúcar::Puebla::Mexico",8.8,2,51,18.6100,-98.4700,0,"Izúcar",""
"Los Ranchos::Puebla::Mexico",8.5,1,76,19.0700,-98.4800,0,"Los Ranchos",""
"Momoxpán::Puebla::Mexico",6.7,11,81,19.0700,-98.2300,0,"Momoxpán",""
"Ocotitlán::Puebla::Mexico",6.2,1,93,19.0300,-97.9500,0,"Ocotitlán",""
"Ocoyucan::Puebla::Mexico",6.7,6,72,18.9700,-98.2800,0,"Ocoyucan",""
"Puebla::Puebla::Mexico",6.8,71,80,19.0500,-98.2200,0,"Puebla",""
"Raboso::Puebla::Mexico",8.6,2,51,18.5700,-98.4300,0,"Raboso",""
"Sanctórum::Puebla::Mexico",5.8,3,83,19.1000,-98.2500,0,"Sanctórum",""
"Tehuacán::Puebla::Mexico",6.1,2,128,18.4500,-97.3800,0,"Tehuacán",""
"Tetela de Ocampo::Puebla::Mexico",2.0,2,166,19.8200,-97.8000,0,"Tetela de Ocampo",""
"Teziutlán::Puebla::Mexico",4.5,1,191,19.8200,-97.3600,0,"Teziutlán",""
"Tianguismanalco::Puebla::Mexico",5.6,1,67,18.9500,-98.4300,0,"Tianguismanalco",""
"Tlaxcalancingo::Puebla::Mexico",6.7,26,77,19.0300,-98.2700,0,"Tlaxcalancingo",""
"Tlaxco::Puebla::Mexico",6.1,1,219,20.4300,-98.0200,0,"Tlaxco",""
"Xonatepec::Puebla::Mexico",6.1,2,87,19.0800,-98.1000,0,"Xonatepec",""
"Xoxtla::Puebla::Mexico",5.0,1,87,19.1700,-98.3200,0,"Xoxtla",""
"Cadereyta::Querétaro::Mexico",2.0,1,279,20.7000,-99.8200,0,"Cadereyta",""
"El Pueblito::Querétaro::Mexico",1.0,2,304,20.5300,-100.4500,0,"El Pueblito",""
"Jauregui::Querétaro::Mexico",2.9,6,320,20.7300,-100.4500,0,"Jauregui",""
"La Cañada::Querétaro::Mexico",2.0,2,302,20.6200,-100.3200,0,"La Cañada",""
"Querétaro::Querétaro::Mexico",2.4,35,305,20.5900,-100.4000,0,"Querétaro",""
"San José el Alto::Querétaro::Mexico",2.0,5,308,20.6500,-100.3700,0,"San José el Alto",""
"Tequisquiapan::Querétaro::Mexico",2.0,1,266,20.5200,-99.8700,0,"Tequisquiapan",""
"Tlacote el Bajo::Querétaro::Mexico",2.0,3,317,20.6500,-100.5000,0,"Tlacote el Bajo",""
"Cancún::Quintana Roo::Mexico",2.0,3,1256,21.1700,-86.8300,0,"Cancún",""
"Isla Mujeres::Quintana Roo::Mexico",2.9,1,1268,21.2000,-86.7200,0,"Isla Mujeres",""
"Playa del Carmen::Quintana Roo::Mexico",1.0,3,1221,20.6200,-87.0700,0,"Playa del Carmen",""
"Escalerillas::San Luis Potosí::Mexico",2.0,2,481,22.1300,-101.0700,0,"Escalerillas",""
"La Pila::San Luis Potosí::Mexico",2.0,3,462,22.0500,-100.8700,0,"La Pila",""
"San Luis Potosí::San Luis Potosí::Mexico",2.2,5,478,22.1600,-100.9800,0,"San Luis Potosí",""
"Eldorado::Sinaloa::Mexico",2.0,1,1121,24.3300,-107.3700,0,"Eldorado",""
"La Cruz::Sinaloa::Mexico",2.0,1,1056,23.9200,-106.9000,0,"La Cruz",""
"Hermosillo::Sonora::Mexico",1.0,1,1724,29.0700,-110.9700,0,"Hermosillo",""
"Nogales::Sonora::Mexico",1.0,1,1892,31.3100,-110.9500,0,"Nogales",""
"Comalcalco::Tabasco::Mexico",3.1,1,560,18.2700,-93.2200,0,"Comalcalco",""
"Cunduacán::Tabasco::Mexico",4.3,1,567,18.0700,-93.1700,0,"Cunduacán",""
"Cárdenas::Tabasco::Mexico",2.0,2,547,18.0100,-93.3700,0,"Cárdenas",""
"Luis Gil Pérez::Tabasco::Mexico",3.4,1,583,17.8700,-93.0500,0,"Luis Gil Pérez",""
"Macuspana::Tabasco::Mexico",2.0,1,631,17.7700,-92.6000,0,"Macuspana",""
"Villahermosa::Tabasco::Mexico",2.2,4,595,17.9800,-92.9200,0,"Villahermosa",""
"Madero::Tamaulipas::Mexico",2.0,1,420,22.2700,-97.8300,0,"Madero",""
"Nuevo Laredo::Tamaulipas::Mexico",4.9,2,995,27.4800,-99.5100,0,"Nuevo Laredo",""
"Ocampo::Tamaulipas::Mexico",1.0,1,484,22.8300,-99.3300,0,"Ocampo",""
"Tampico::Tamaulipas::Mexico",2.0,3,414,22.2200,-97.8500,0,"Tampico",""
"Apizaco::Tlaxcala::Mexico",4.1,2,114,19.4200,-98.1500,0,"Apizaco",""
"Atexcatzingo::Tlaxcala::Mexico",4.1,1,119,19.4700,-98.1300,0,"Atexcatzingo",""
"Calpulalpan::Tlaxcala::Mexico",3.8,1,124,19.5800,-98.5800,0,"Calpulalpan",""
"Huiloac::Tlaxcala::Mexico",5.6,1,112,19.4000,-98.1500,0,"Huiloac",""
"Papalotla::Tlaxcala::Mexico",5.0,1,90,19.1700,-98.2000,0,"Papalotla",""
"Tequixquitla::Tlaxcala::Mexico",4.1,1,133,19.3300,-97.6500,0,"Tequixquitla",""
"Tlaxcala::Tlaxcala::Mexico",4.8,3,101,19.3100,-98.2400,0,"Tlaxcala",""
"Xaloztoc::Tlaxcala::Mexico",6.6,1,116,19.4000,-98.0500,0,"Xaloztoc",""
"Yauhquemecan::Tlaxcala::Mexico",1.0,1,113,19.4200,-98.1700,0,"Yauhquemecan",""
"Acayucan::Veracruz::Mexico",4.1,3,387,17.9500,-94.9200,0,"Acayucan",""
"Banderilla::Veracruz::Mexico",7.4,1,206,19.5800,-96.9300,0,"Banderilla",""
"Boca del Río::Veracruz::Mexico",4.2,9,263,19.1200,-96.1200,0,"Boca del Río",""
"Coatepec::Veracruz::Mexico",3.8,1,195,19.4500,-96.9700,0,"Coatepec",""
"Coatzacoalcos::Veracruz::Mexico",3.7,7,436,18.1400,-94.4200,0,"Coatzacoalcos",""
"Cuautlapan::Veracruz::Mexico",3.1,1,166,18.8700,-97.0300,0,"Cuautlapan",""
"Córdoba::Veracruz::Mexico",4.8,5,177,18.8900,-96.9200,0,"Córdoba",""
"El Castillo::Veracruz::Mexico",4.3,3,210,19.5300,-96.8500,0,"El Castillo",""
"El Tejar::Veracruz::Mexico",3.1,2,256,19.0700,-96.1700,0,"El Tejar",""
"Emilio Carranza::Veracruz::Mexico",6.8,1,258,19.9700,-96.6000,0,"Emilio Carranza",""
"La Peña::Veracruz::Mexico",5.3,1,293,20.9500,-97.4000,0,"La Peña",""
