,Network,Station,Channel,Location,Distance,Azimuth,Phase,ArrivalTime,Status,Residual,WeightGI RETA HHZ --,2.0272,105.19,Pn,2017-09-08T04:49:53.1Z,manual,-0.2,0
52,CI ISA BHZ --,30.1968,317.327,P,2017-09-08T04:55:24.64Z,automatic,0.0,0.84,,,,,,,,,,
53,IU RSSD BHZ 10,30.2629,345.17199999999997,P,2017-09-08T04:55:25.42Z,automatic,0.0,0.84,,,,,,,,,,
54,IU BBSR BHZ 10,31.5135,51.7305,P,2017-09-08T04:55:35.29Z,automatic,-0.8,0.85,,,,,,,,,,
55,II NNA BHZ 10,31.6515,147.219,P,2017-09-08T04:55:37.47Z,automatic,0.1,0.85,,,,,,,,,,
56,BR BOAV HHZ --,35.0694,107.79700000000001,P,2017-09-08T04:56:06.19Z,automatic,-0.8,0.88,,,,,,,,,,
57,IU SAML BHZ 10,38.5386,126.306,P,2017-09-08T04:56:34.94Z,automatic,-1.6,0.91,,,,,,,,,,
58,IU COR BHZ 10,38.6475,325.619,P,2017-09-08T04:56:38.57Z,automatic,1.2,0.91,,,,,,,,,,
59,II FFC BHZ 10,40.0923,352.566,P,2017-09-08T04:56:48.44Z,automatic,-1.0,0.93,,,,,,,,,,
60,CN GBN HHZ --,40.6058,35.2045,P,2017-09-08T04:56:56.7Z,automatic,3.0,0.93,,,,,,,,,,
61,CX PB12 BHZ --,40.6314,144.665,P,2017-09-08T04:56:53.84Z,automatic,-0.2,0.93,,,,,,,,,,
62,CN PGC HHZ --,41.4407,330.216,P,2017-09-08T04:57:01.04Z,automatic,0.5,0.94,,,,,,,,,,
63,G MPG BHZ 00,41.5557,99.3798,P,2017-09-08T04:57:01.59Z,automatic,0.1,0.94,,,,,,,,,,
64,CX PATCX BHZ --,42.5153,146.381,P,2017-09-08T04:57:09.29Z,automatic,-0.1,0.95,,,,,,,,,,
65,CN CBB HHZ --,43.2989,330.452,P,2017-09-08T04:57:17.09Z,automatic,1.4,0.96,,,,,,,,,,
66,BR VILB HHZ --,43.3084,128.27200000000002,P,2017-09-08T04:57:14.92Z,automatic,-0.8,0.96,,,,,,,,,,
67,IU LVC BHZ 10,44.6383,146.494,P,2017-09-08T04:57:26.77Z,automatic,0.0,0.97,,,,,,,,,,
